"","V1","Arrest","Age","Sex","Race","ArrestDate","ArrestTime","ArrestLocation","IncidentOffense","IncidentLocation","Charge","ChargeDescription","District","Post","Neighborhood","Latitude","Longitude","Hour","Description","Hour_c"
"1","15542",16047574,48,"Male",3,"04/01/2016","2016-12-12 19:10:00","1500 MONTPELIER ST","Unknown Offense","1500 Montpelier St","4 3550","Cds:Possess-Not Marihuana || Possession Of Cocaine","Northeastern",411,"COLDSTREAM HOMESTEAD MONTEBELLO",39.3217493903,-76.5982718913,"Evening (3pm to 8pm)","Age: 48 ; Race: White ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Possession Of Cocaine ; District: Northeastern ; Time: Evening (3pm to 8pm)",3
"62","42180",15050907,17,"Male",1,"04/01/2015","2016-12-12 17:45:00","800 W SARATOGA ST","54-Armed Person","800  W Saratoga St","1 5212","Handgun On Person || Hgv","Western",714,"POPPLETON",39.2926056214,-76.6310885671,"Evening (3pm to 8pm)","Age: 17 ; Race: Black ; Gender: Male ; Charge: Handgun On Person || Hgv ; District: Western ; Time: Evening (3pm to 8pm)",3
"63","116701",13674294,21,"Male",1,"04/27/2013","2016-12-12 19:37:00","4600 FRANKFORD AVE","6G-Larceny- From Bldg.","4200 Frankford Av","1 0621","Theft: Less $1,000 Value || Larceny","Northeastern",435,"Frankford",39.3333433038,-76.547297784,"Evening (3pm to 8pm)","Age: 21 ; Race: Black ; Gender: Male ; Charge: Theft: Less $1,000 Value || Larceny ; District: Northeastern ; Time: Evening (3pm to 8pm)",3
"64","120195",13657794,38,"Male",1,"03/28/2013","2016-12-12 19:27:00","5100 PARK HEIGHTS AVE","87-Narcotics","5100 Park Heights Av","4 3550","Cds:Possess-Not Marihuana || Cds Poss-Xanax","Northwestern",614,"Central Park Heights",39.3484279445,-76.6749069021,"Evening (3pm to 8pm)","Age: 38 ; Race: Black ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Cds Poss-Xanax ; District: Northwestern ; Time: Evening (3pm to 8pm)",3
"65","92808",13785900,34,"Male",1,"11/19/2013","2016-12-12 10:10:00","1400 E FEDERAL ST","Unknown Offense","1400 Federal St","3 0233","Cds:P W/I Dist:Narc || Cds Pwid","Eastern",321,"OLIVER",39.3083625237,-76.5997184807,"Daytime (9am to 2pm)","Age: 34 ; Race: Black ; Gender: Male ; Charge: Cds:P W/I Dist:Narc || Cds Pwid ; District: Eastern ; Time: Daytime (9am to 2pm)",2
"66","57086",14167881,18,"Male",1,"10/03/2014","2016-12-12 09:45:00","1600 ELMTREE ST","Unknown Offense","1600 Elmtree St","4 3550","Cds:Possess-Not Marihuana || Poss With Int. Cds","Southern",911,"CURTIS BAY",39.224564859,-76.5878442436,"Daytime (9am to 2pm)","Age: 18 ; Race: Black ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Poss With Int. Cds ; District: Southern ; Time: Daytime (9am to 2pm)",2
"67","112459",13693850,33,"Female",3,"06/04/2013","2016-12-12 11:00:00","1400 E NORTH AVE","4E-Common Assault","1400 North Ave","1 1415","Asslt-Sec Degree || Assault","Eastern",312,"East Baltimore Midway",39.3119617603,-76.5992228788,"Daytime (9am to 2pm)","Age: 33 ; Race: White ; Gender: Female ; Charge: Asslt-Sec Degree || Assault ; District: Eastern ; Time: Daytime (9am to 2pm)",2
"68","109572",13707266,51,"Male",1,"06/28/2013","2016-12-12 19:30:00","1500 E LANVALE ST","87-Narcotics","1500 E Lanvale St","4 3550","Cds:Possess-Not Marihuana || Cds","Eastern",321,"Oliver",39.309507348,-76.5978151511,"Evening (3pm to 8pm)","Age: 51 ; Race: Black ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Cds ; District: Eastern ; Time: Evening (3pm to 8pm)",3
"69","35816",15100555,26,"Male",1,"07/05/2015","2016-12-12 22:00:00","3500 EDMONDSON AVE","5A-Burg. Res. (Force)","600 Linnard St","1 1130","Burglary-4Th Degree-Store || Burglary","Southwestern",815,"EDGEWOOD",39.2940894888,-76.6756729447,"Night (9pm to 2am)","Age: 26 ; Race: Black ; Gender: Male ; Charge: Burglary-4Th Degree-Store || Burglary ; District: Southwestern ; Time: Night (9pm to 2am)",4
"70","112264",13694547,19,"Male",1,"06/05/2013","2016-12-12 15:50:00","5000 FRANKFORD AVE","4C-Agg. Asslt.- Oth.","5000 Frankford Av","1 1415","Asslt-Sec Degree || Agg Assault","Northeastern",434,"Frankford",39.3287857546,-76.541600636,"Evening (3pm to 8pm)","Age: 19 ; Race: Black ; Gender: Male ; Charge: Asslt-Sec Degree || Agg Assault ; District: Northeastern ; Time: Evening (3pm to 8pm)",3
"71","65299",14120600,53,"Male",1,"07/22/2014","2016-12-12 20:00:00","2800 ROUND RD","Unknown Offense","2800 Round Rd","4 3550","Cds:Possess-Not Marihuana || Poss. W/Int","Southern",924,"CHERRY HILL",39.2468718844,-76.6279614154,"Evening (3pm to 8pm)","Age: 53 ; Race: Black ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Poss. W/Int ; District: Southern ; Time: Evening (3pm to 8pm)",3
"72","13265",16064157,35,"Male",1,"05/02/2016","2016-12-12 16:50:00","1600 W NORTH AVE","Unknown Offense","1600 W North Ave","2 0696","Cds Manuf/Dist-Narc || Cds Violation","Western",733,"PENN NORTH",39.3100495075,-76.643402823,"Evening (3pm to 8pm)","Age: 35 ; Race: Black ; Gender: Male ; Charge: Cds Manuf/Dist-Narc || Cds Violation ; District: Western ; Time: Evening (3pm to 8pm)",3
"73","100282",13750563,56,"Male",1,"09/14/2013","2016-12-12 17:50:00","1800 N COLLINGTON AVE","Unknown Offense","1800 N Collington Av","1 0573","Cds: Possession-Marihuana || Cds Viol","Eastern",331,"Broadway East",39.3111106847,-76.5874644461,"Evening (3pm to 8pm)","Age: 56 ; Race: Black ; Gender: Male ; Charge: Cds: Possession-Marihuana || Cds Viol ; District: Eastern ; Time: Evening (3pm to 8pm)",3
"74","119222",13662155,52,"Male",1,"04/05/2013","2016-12-12 21:30:00","800 CHERRY HILL RD","87-Narcotics","700 Cherry Hill Rd","4 3550","Cds:Possess-Not Marihuana || Poss Of Cocaine","Southern",922,"Cherry Hill",39.2490571481,-76.6252532647,"Night (9pm to 2am)","Age: 52 ; Race: Black ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Poss Of Cocaine ; District: Southern ; Time: Night (9pm to 2am)",4
"75","95160",13774939,32,"Male",1,"10/28/2013","2016-12-12 23:00:00","6500 EBERLE DR","87O-Narcotics (Outside)","6500 Eberle Dr","4 3550","Cds:Possess-Not Marihuana || Cds Viol","Northwestern",631,"REISTERSTOWN STATION",39.3535145988,-76.7062674726,"Night (9pm to 2am)","Age: 32 ; Race: Black ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Cds Viol ; District: Northwestern ; Time: Night (9pm to 2am)",4
"76","119080",13662597,50,"Male",1,"04/07/2013","2016-12-12 02:32:00","1800 HARFORD AVE","Unknown Offense","","","Dwi","Eastern",313,"Oliver",39.3106118291,-76.5998652844,"Night (9pm to 2am)","Age: 50 ; Race: Black ; Gender: Male ; Charge: Dwi ; District: Eastern ; Time: Night (9pm to 2am)",4
"77","33520",15116566,51,"Male",1,"08/04/2015","2016-12-12 20:00:00","2800 HARFORD RD","Unknown Offense","2800 Harford Rd","5 3550","Cds:Poss Para || Cds","Northeastern",412,"COLDSTREAM HOMESTEAD MONTEBELLO",39.3218182768,-76.5901669311,"Evening (3pm to 8pm)","Age: 51 ; Race: Black ; Gender: Male ; Charge: Cds:Poss Para || Cds ; District: Northeastern ; Time: Evening (3pm to 8pm)",3
"78","76807",14060538,20,"Male",1,"04/16/2014","2016-12-12 21:15:00","1400 N MILTON AVE","Unknown Offense","1400 N Milton Av","1 1609","Firearm Poss W/Fel Convict || Hgv","Eastern",333,"BROADWAY EAST",39.3069292805,-76.5828284987,"Night (9pm to 2am)","Age: 20 ; Race: Black ; Gender: Male ; Charge: Firearm Poss W/Fel Convict || Hgv ; District: Eastern ; Time: Night (9pm to 2am)",4
"79","51932",14199493,21,"Female",1,"11/30/2014","2016-12-12 18:50:00","2600 W FAIRMOUNT AVE","Unknown Offense","2600 W Fairmount Av","2 2210","Trespass-Posted Property || Tresspassing","Southwestern",816,"SHIPLEY HILL",39.2882828507,-76.658730518,"Evening (3pm to 8pm)","Age: 21 ; Race: Black ; Gender: Female ; Charge: Trespass-Posted Property || Tresspassing ; District: Southwestern ; Time: Evening (3pm to 8pm)",3
"80","12566",16069673,25,"Male",1,"05/12/2016","2016-12-12 14:30:00","2400 WOODBROOK AVE","Unknown Offense","","1 3903","Gaming/Cards- Dice- Etc. || Gambling","Western",733,"PENN NORTH",39.3101763129,-76.6411854071,"Daytime (9am to 2pm)","Age: 25 ; Race: Black ; Gender: Male ; Charge: Gaming/Cards- Dice- Etc. || Gambling ; District: Western ; Time: Daytime (9am to 2pm)",2
"81","40452",15062954,22,"Male",1,"04/21/2015","2016-12-12 13:35:00","400 LYNDHURST ST","Unknown Offense","300 Lyndhurst St","4 3550","Cds:Possess-Not Marihuana || Poss Heroin","Southwestern",822,"ALLENDALE",39.2918079523,-76.6805419158,"Daytime (9am to 2pm)","Age: 22 ; Race: Black ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Poss Heroin ; District: Southwestern ; Time: Daytime (9am to 2pm)",2
"82","114677",13683605,18,"Male",1,"05/15/2013","2016-12-12 21:20:00","500 ROSE HILL TER","87-Narcotics","4000 Old York Rd","1 0573","Cds: Possession-Marihuana || Cds Violation","Northern",525,"Pen Lucy",39.338664564,-76.6094496709,"Night (9pm to 2am)","Age: 18 ; Race: Black ; Gender: Male ; Charge: Cds: Possession-Marihuana || Cds Violation ; District: Northern ; Time: Night (9pm to 2am)",4
"83","85519",14015342,20,"Male",1,"01/31/2014","2016-12-12 03:00:00","1700 HOMESTEAD ST","Unknown Offense","1700 Homestead St","1 1635","Cds: Poss Marihuana L/T 10 G || Cds","Northeastern",411,"COLDSTREAM HOMESTEAD MONTEBELLO",39.320290651,-76.5945301019,"Morning (3am to 8am)","Age: 20 ; Race: Black ; Gender: Male ; Charge: Cds: Poss Marihuana L/T 10 G || Cds ; District: Northeastern ; Time: Morning (3am to 8am)",1
"84","99422",13754624,24,"Male",1,"09/21/2013","2016-12-12 00:40:00","100 N BENTALOU ST","87-Narcotics","100 N Bentalou St","1 0573","Cds: Possession-Marihuana || Possession Marijuana","Western",721,"PENROSE/FAYETTE STREET OUTREACH",39.2896170252,-76.6529903474,"Night (9pm to 2am)","Age: 24 ; Race: Black ; Gender: Male ; Charge: Cds: Possession-Marihuana || Possession Marijuana ; District: Western ; Time: Night (9pm to 2am)",4
"85","118668",13664660,24,"Male",3,"04/10/2013","2016-12-12 18:20:00","3900 ERDMAN AVE","87-Narcotics","3900 Erdman Av","4 3550","Cds:Possess-Not Marihuana || Poss Of Cocaine","Northeastern",413,"Belair-Edison",39.3150056088,-76.5683943379,"Evening (3pm to 8pm)","Age: 24 ; Race: White ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Poss Of Cocaine ; District: Northeastern ; Time: Evening (3pm to 8pm)",3
"86","108256",13712919,47,"Male",1,"07/10/2013","2016-12-12 11:15:00","2700 HUGO AVE","87-Narcotics","2700 Hugo Av","1 1635","Cds: Poss Marihuana L/T 10 G || Poss. Marijauana","Northeastern",412,"Coldstream Homestead Montebel",39.3231653453,-76.5890538717,"Daytime (9am to 2pm)","Age: 47 ; Race: Black ; Gender: Male ; Charge: Cds: Poss Marihuana L/T 10 G || Poss. Marijauana ; District: Northeastern ; Time: Daytime (9am to 2pm)",2
"87","109695",13706733,23,"Male",1,"06/27/2013","2016-12-12 19:50:00","1600 N CAROLINE ST","87O-Narcotics (Outside)","1600 N Caroline St","1 1635","Cds: Poss Marihuana L/T 10 G || Poss Of Marijuana","Eastern",321,"Oliver",39.3085586494,-76.5982979241,"Evening (3pm to 8pm)","Age: 23 ; Race: Black ; Gender: Male ; Charge: Cds: Poss Marihuana L/T 10 G || Poss Of Marijuana ; District: Eastern ; Time: Evening (3pm to 8pm)",3
"88","77361",14057561,25,"Male",1,"04/11/2014","2016-12-12 23:30:00","600 N LAKEWOOD AVE","Unknown Offense","600 N Lakewood Av","2 0050","Dis.Erly Conduct || Deadly Weapon/Disorderly","Southeastern",221,"MCELDERRY PARK",39.2982255308,-76.5794523292,"Night (9pm to 2am)","Age: 25 ; Race: Black ; Gender: Male ; Charge: Dis.Erly Conduct || Deadly Weapon/Disorderly ; District: Southeastern ; Time: Night (9pm to 2am)",4
"89","71684",14087540,27,"Female",3,"05/29/2014","2016-12-12 19:15:00","4200 NICHOLAS AVE","Unknown Offense","4200 Nicholas Av","1 1635","Cds: Poss Marihuana L/T 10 G || Cds Violation","Northeastern",436,"BELAIR-EDISON",39.3292005587,-76.5640314232,"Evening (3pm to 8pm)","Age: 27 ; Race: White ; Gender: Female ; Charge: Cds: Poss Marihuana L/T 10 G || Cds Violation ; District: Northeastern ; Time: Evening (3pm to 8pm)",3
"90","129479",13616261,54,"Male",1,"01/11/2013","2016-12-12 06:08:00","4200 ERDMAN AVE","6J-Larceny- Other","4200 Erdman Av","1 2411","Grocery Carts-Removal || Larceny","Northeastern",431,"Orangeville Industrial Area",39.3132803638,-76.5675743814,"Morning (3am to 8am)","Age: 54 ; Race: Black ; Gender: Male ; Charge: Grocery Carts-Removal || Larceny ; District: Northeastern ; Time: Morning (3am to 8am)",1
"91","821",16154635,42,"Male",3,"10/31/2016","2016-12-12 10:00:00","2600 E BIDDLE ST","Unknown Offense","","","DRIVING ON SUSPENDED LIC","Eastern",332,"Berea",39.3048494822,-76.5807731082,"Daytime (9am to 2pm)","Age: 42 ; Race: White ; Gender: Male ; Charge: DRIVING ON SUSPENDED LIC ; District: Eastern ; Time: Daytime (9am to 2pm)",2
"92","67017",14111874,21,"Male",1,"07/08/2014","2016-12-12 22:00:00","2800 AILSA AVE","3AF-Robb Hwy-Firearm","4900 Harford Rd","","Robbery","Northeastern",426,"LAURAVILLE",39.3488380191,-76.569463645,"Night (9pm to 2am)","Age: 21 ; Race: Black ; Gender: Male ; Charge: Robbery ; District: Northeastern ; Time: Night (9pm to 2am)",4
"93","10688",16082502,22,"Female",3,"06/07/2016","2016-12-12 11:00:00","1800 WILKENS AVE","Unknown Offense","","1 1093","Prostitution-General || Prostitution","Southern",935,"CARROLLTON RIDGE",39.2826773194,-76.645021384,"Daytime (9am to 2pm)","Age: 22 ; Race: White ; Gender: Female ; Charge: Prostitution-General || Prostitution ; District: Southern ; Time: Daytime (9am to 2pm)",2
"94","46979",15019368,20,"Female",3,"02/04/2015","2016-12-12 11:00:00","3200 HAMILTON AVE","Unknown Offense","3200 Hamilton Av","4 3550","Cds:Possess-Not Marihuana || Cds Distribution","Northeastern",427,"WALTHERSON",39.3491837266,-76.558686316,"Daytime (9am to 2pm)","Age: 20 ; Race: White ; Gender: Female ; Charge: Cds:Possess-Not Marihuana || Cds Distribution ; District: Northeastern ; Time: Daytime (9am to 2pm)",2
"95","47952",15013012,23,"Female",3,"01/25/2015","2016-12-12 04:30:00","5300 GOODNOW RD","Unknown Offense","5300 Goodnow Rd","4 3550","Cds:Possess-Not Marihuana || Cds Violation","Northeastern",433,"FRANKFORD",39.3236276068,-76.5430831851,"Morning (3am to 8am)","Age: 23 ; Race: White ; Gender: Female ; Charge: Cds:Possess-Not Marihuana || Cds Violation ; District: Northeastern ; Time: Morning (3am to 8am)",1
"96","23408",15188383,58,"Male",1,"12/16/2015","2016-12-12 10:47:00","1800 BLOOMINGDALE RD","Unknown Offense","3100 W North Ave","3 4025","Mal Dest Prop/Valu - $500 || Destruction Of Property","Southwestern",812,"ROSEMONT",39.3080817678,-76.6698666074,"Daytime (9am to 2pm)","Age: 58 ; Race: Black ; Gender: Male ; Charge: Mal Dest Prop/Valu - $500 || Destruction Of Property ; District: Southwestern ; Time: Daytime (9am to 2pm)",2
"97","77598",14056550,33,"Male",1,"04/10/2014","2016-12-12 10:00:00","300 N WARWICK AVE","Unknown Offense","300 N Warwick Av","4 3550","Cds:Possess-Not Marihuana || Cds Violation","Southwestern",816,"PENROSE/FAYETTE STREET OUTREACH",39.2921160301,-76.6562147538,"Daytime (9am to 2pm)","Age: 33 ; Race: Black ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Cds Violation ; District: Southwestern ; Time: Daytime (9am to 2pm)",2
"98","106328",13722419,22,"Male",1,"07/27/2013","2016-12-12 20:00:00","700 N MONTFORD AVE","87-Narcotics","700 N Montford Av","1 1635","Cds: Poss Marihuana L/T 10 G || Cds Violation","Eastern",325,"Milton-Montford",39.2991830869,-76.5837102916,"Evening (3pm to 8pm)","Age: 22 ; Race: Black ; Gender: Male ; Charge: Cds: Poss Marihuana L/T 10 G || Cds Violation ; District: Eastern ; Time: Evening (3pm to 8pm)",3
"99","114010",13686920,33,"Male",3,"05/22/2013","2016-12-12 03:15:00","4700 ROLAND AVE","6D-Larceny- From Auto","4500 Roland Av","1 0621","Theft: Less $1,000 Value || Larceny From Auto","Northern",536,"Roland Park",39.3477427254,-76.6360200246,"Morning (3am to 8am)","Age: 33 ; Race: White ; Gender: Male ; Charge: Theft: Less $1,000 Value || Larceny From Auto ; District: Northern ; Time: Morning (3am to 8am)",1
"100","124873",13636870,45,"Female",1,"02/19/2013","2016-12-12 07:55:00","1500 BLOOMINGDALE RD","49-Family Disturbance","1500 Bloomingdale Rd","2 2220","Trespass: Private Property || Disorderly Conduct","Southwestern",814,"Rosemont",39.3047069575,-76.6667785088,"Morning (3am to 8am)","Age: 45 ; Race: Black ; Gender: Female ; Charge: Trespass: Private Property || Disorderly Conduct ; District: Southwestern ; Time: Morning (3am to 8am)",1
